	     
         
        TABLA DE CODIGOS DE CITOLOGIAS CERVICOUTERINAS PATOLOGIA SUESCUN
     
    CODIGO               RESULTADO 
    
      20   "MUESTRA INSATISFACTORIA POR DEFECTO DE ENDOCERVIX"
      21   "MUESTRA INSATISFACTORIA POR ESCASAS CELULAS"
      22   "MUESTRA INSATISFACTORIA POR MATERIAL EXTRAÑO"
      23   "MUESTRA INSATISFACTORIA POR INFLAMACION EXCESIVA"
      24   "MUESTRA INSATISFACTORIA POR HEMORRAGIA"
      25   "MUESTRA INSATISFACTORIA POR AUTOLISIS EXTENSA"
      27   "MUESTRA INSATISFACTORIA POR DEFECTO DE TINCION O FIJACION"
      29   "MUESTRA INSATISFACTORIA POR EXTENDIDO GRUESO"

 
       2   "(LSIL) LESION ESCAMOSA INTRAEPITELIAL DE BAJO GRADO"
       3   "(HSIL) LESION ESCAMOSA INTRAEPITELIAL DE ALTO GRADO"
       4   "CARCINOMA INESPECIFICO"
       5   "CARCINOMA ESCAMOCELULAR INVASOR"
       6   "ADENOCARCINOMA INVASOR"
       9   "ASC-US"
       8   "ASC-H"
      10   "AGC-NOS"
      11   "(LSIL) CONDILOMA"
      13   "AIS"
      14   "AGC A FAVOR DE NEOPLASIA"


	      74   "NEGATIVA PARA NEOPLASIA. INFECCION POR CANDIDA Y GARDNERELLA"
      75   "NEGATIVA PARA NEOPLASIA. SIN ENDOCERVIX POR HISTERECTOMIA"
      76   "NEGATIVA PARA NEOPLASIA. SIN ENDOCERVIX POR ESTENOSIS DEL ORIFICIO"
      77   "NEGATIVA PARA NEOPLASIA. SIN ENDOCERVIX POR CONIZACION"
      78   "NEGATIVA PARA NEOPLASIA. SIN ENDOCERVIX (PACIENTE VIRGEN)"
      79   "NEGATIVA PARA NEOPLASIA. PRESENCIA DE ACTINOMYCES"
      80   "NEGATIVA PARA NEOPLASIA"
      81   "NEGATIVA PARA NEOPLASIA. INFLAMACION LEVE"
      82   "NEGATIVA PARA NEOPLASIA. INFLAMATORIA POR HONGOS"
      83   "NEGATIVA PARA NEOPLASIA. TRICOMONIASIS"
      84   "NEGATIVA PARA NEOPLASIA. INFECCION POR HERPES VIRUS"
      85   "NEGATIVA PARA NEOPLASIA. CAMBIOS REACTIVOS POR IRRADIACION"
      86   "NEGATIVA PARA NEOPLASIA. VAGINOSIS BACTERIANA"
      87   "NEGATIVA PARA NEOPLASIA. CAMBIOS REACTIVOS POR QUIMIOTERAPIA"
      88   "NEGATIVA PARA NEOPLASIA. CAMBIOS REACTIVOS POR HORMONOTERAPIA"
      89   "NEGATIVA PARA NEOPLASIA. CAMBIOS REACTIVOS POR EFECTO DE DIU"
      90   "NEGATIVA PARA NEOPLASIA. ATROFIA"
      91   "NEGATIVA PARA NEOPLASIA. INFLAMACION SEVERA"
      92   "NEGATIVA PARA NEOPLASIA. CAMBIOS REACTIVOS GLANDULARES"
      93   "NEGATIVA PARA NEOPLASIA. INFLAMACION MODERADA"
      94   "NEGATIVA PARA NEOPLASIA. POLIPO EN CERVIX."
      96   "NEGATIVA PARA NEOPLASIA. ATROFIA CON CAMBIOS REACTIVOS"
      97   "NEGATIVA PARA NEOPLASIA. CAMBIOS REACTIVOS DE CELULAS ESCAMOSAS"
      98   "NEGATIVA PARA NEOPLASIA. CELULAS ENDOMETRIALES EN EL EXTENDIDO"
      50   "INFORME ABIERTO"
